pitcher,avg_exit_velocity_allowed,max_exit_velocity_allowed,avg_launch_angle_allowed,batted_balls_allowed
694738,76.01428571428572,106.0,25.285714285714285,14
642048,75.80588235294118,106.1,-7.470588235294118,17
605347,75.74,105.8,27.933333333333334,15
570257,75.64,90.0,4.4,5
519242,75.56923076923077,109.1,16.205128205128204,39
518617,75.53999999999999,97.5,23.8,5
571927,75.50810810810812,98.8,22.18918918918919,37
592779,75.30000000000001,95.0,33.44444444444444,9
663947,75.27142857142857,94.9,17.0,7
670990,75.23846153846154,101.9,25.076923076923077,13
543056,74.47,94.3,19.0,10
686580,74.0625,100.5,-10.125,8
664208,74.01,99.8,3.0,10
666214,73.972,107.1,22.84,25
640451,73.775,93.9,22.625,8
628708,73.59411764705882,108.2,12.941176470588236,17
519008,73.43636363636364,97.0,-29.272727272727273,11
670950,73.40833333333333,94.9,20.25,12
458677,73.1,79.1,30.714285714285715,7
676395,73.03846153846153,109.1,8.23076923076923,13
666204,73.025,86.1,26.5,4
605177,72.96363636363637,93.6,9.090909090909092,11
669212,72.575,103.7,-7.0,4
642528,71.19999999999999,80.6,-1.75,4
613534,71.02857142857142,94.6,23.857142857142858,7
605463,70.6,100.0,40.4,5
676254,70.42999999999999,82.0,16.2,10
643396,70.39999999999999,79.2,40.666666666666664,3
493603,68.725,105.9,14.25,8
595345,66.45,71.3,2.0,2
658648,59.800000000000004,91.9,-6.0,2
